epoch,train_loss,train_acc,val_loss,val_acc
1,4.433192134941949,0.03404444444444445,4.26874879283905,0.048
2,4.182129040993584,0.05773333333333333,4.038925794792175,0.0732
3,3.954660769833459,0.0896,3.904710281562805,0.1006
4,3.795216850757599,0.11077777777777778,3.656866433906555,0.1338
5,3.6363811850653756,0.1376,3.5235305315971375,0.162
6,3.533220507589976,0.15322222222222223,3.447889329433441,0.1594
7,3.44719686138365,0.16782222222222223,3.381829953479767,0.1742
8,3.3780504956245423,0.17988888888888888,3.2800226574897766,0.1916
9,3.3139952050156065,0.19164444444444445,3.260997148895264,0.2064
10,3.2597355114036137,0.20522222222222222,3.2576705575942992,0.1982
11,3.0927767847590975,0.23806666666666668,3.0603397159576415,0.2432
12,3.06021306942304,0.24464444444444444,3.0444662937164306,0.2478
13,3.043401795127657,0.24766666666666667,3.0202087655067444,0.2472
14,3.0264329832341934,0.25146666666666667,3.026017641878128,0.25
15,3.0114903606043923,0.2554666666666667,2.998906022119522,0.2538
16,2.995716059557597,0.2584666666666667,2.984353957557678,0.2608
17,2.9845991155253517,0.26108888888888887,2.9849730979919435,0.2536
18,2.9777089627477857,0.2594444444444444,2.9804434607982637,0.257
19,2.969214293660058,0.2618666666666667,2.9612417863845826,0.2672
20,2.9482837205727894,0.2667555555555556,2.9605009147167207,0.2596
