epoch,train_loss,train_acc,val_loss,val_acc
1,4.195352494451734,0.06104444444444444,3.9688431175231935,0.0834
2,3.9598095279481678,0.0892,3.8478255615234374,0.1036
3,3.8448806399875215,0.10686666666666667,3.7486755600929262,0.1108
4,3.7474921076986525,0.12337777777777778,3.659971858882904,0.128
5,3.646584946653578,0.13882222222222224,3.4952144185066225,0.1568
6,3.5611330971505906,0.1521111111111111,3.44230643491745,0.1676
7,3.4854095549583435,0.16666666666666666,3.3664873886108397,0.178
8,3.4025056899441615,0.18155555555555555,3.285167441749573,0.1976
9,3.326512149137921,0.19375555555555554,3.2025104630470276,0.2128
10,3.2500700428697797,0.2066,3.1471848148822783,0.2248
11,3.0844874813450707,0.23937777777777777,3.027907928800583,0.2516
12,3.050381840324402,0.24906666666666666,2.998258229160309,0.2496
13,3.0273538881513806,0.25364444444444445,2.9912976633548736,0.2572
14,3.01610573114819,0.255,2.9829994507312776,0.2528
15,3.0001907197528417,0.25626666666666664,2.9605720066070558,0.2654
