epoch,train_loss,train_acc,val_loss,val_acc
1,4.172001296456655,0.06335555555555555,3.8757679739952087,0.1012
2,3.692586224714915,0.12775555555555557,3.4824761308670045,0.172
3,3.4827769674725,0.16433333333333333,3.3688351731300354,0.1802
4,3.3494890698220994,0.19004444444444443,3.302484739971161,0.2052
5,3.2343922952334085,0.21044444444444443,3.181684493589401,0.2214
6,3.127581700102488,0.23026666666666668,3.1052022592544555,0.2362
7,3.010713362195757,0.24911111111111112,2.953746253299713,0.2602
8,2.8990866607348122,0.2694,2.802714212346077,0.2934
9,2.7940338247193233,0.2931111111111111,2.773887193274498,0.2996
10,2.712344465170966,0.30864444444444444,2.661339302420616,0.3214
11,2.4236471284204057,0.37173333333333336,2.4845729826927183,0.3526
12,2.3478289917945863,0.38835555555555556,2.4439340651512147,0.3646
13,2.305197280414899,0.3982888888888889,2.44801471722126,0.3708
14,2.2741318800926207,0.40484444444444445,2.4086863159179686,0.3684
15,2.2461199500256113,0.40824444444444447,2.3858004202127456,0.382
