epoch,train_loss,train_acc
1,2.736454588127136,0.30691111111111113
2,1.8306656219906277,0.4902666666259766
3,1.5195037259631687,0.5639999999321832
4,1.2910441765255398,0.6228888888210721
5,1.1130705895741781,0.6667777777370877
6,0.9622807555940416,0.7089333332383898
7,0.8217471153153314,0.7467111110839844
8,0.6981115684085422,0.7813555554606119
9,0.5930388171407911,0.8118666666124132
10,0.4937730893558926,0.8442666665852865
11,0.40673739848666723,0.8687777777235244
12,0.33562526851760016,0.8905555554470486
13,0.2705984707276026,0.9119111110161675
14,0.21683573387993707,0.9279555554606119
15,0.18198726431396273,0.9406222221408421
16,0.1475167946047253,0.9518444444037544
