epoch,train_loss,train_acc
1,2.7590124987284343,0.30388888886854387
2,1.8242008064058093,0.49022222221544054
3,1.5045267511579725,0.5661555555419922
4,1.2882614485846626,0.6218222221815322
5,1.1058134347067938,0.6698444444308811
6,0.9656496743943956,0.7043999999389648
7,0.8223565918710497,0.7470444444444444
8,0.7016919489966499,0.7811111110568577
9,0.5910507273779975,0.8139111110161674
10,0.49339962458610537,0.8426888888210721
11,0.4082881563928392,0.8691555554741754
12,0.33970843869315254,0.8892666666531033
13,0.2761371154361301,0.9088666666259766
14,0.21978003993564182,0.9283777777370877
15,0.1775197505686018,0.9405333332519532
