epoch,train_loss,train_acc
1,2.752763483089871,0.3035111111111111
2,1.83026811665429,0.48935555552842885
3,1.5196360657162136,0.5652444443969726
4,1.3073838644239637,0.6167777777370878
5,1.1287722868495518,0.663511111050076
6,0.9690902701483832,0.7032888888075087
7,0.8404114211506314,0.7415111110161675
8,0.7096129415512085,0.7790444443630643
9,0.6050682269785139,0.8079333333062066
10,0.5013041050804986,0.840044444390191
11,0.4155805401060316,0.8664888888888889
12,0.3408791815757751,0.88873333331977
13,0.28004086560143365,0.9086666666666666
14,0.2193723704430792,0.9276222221950955
15,0.17921493955718146,0.9406444443495008
16,0.14503540376027424,0.9519999999321832
