epoch,train_loss,train_acc
1,2.7179767524719236,0.31437777777777776
2,1.8086762226952446,0.49164444441053606
3,1.493760462527805,0.5711555555284289
4,1.2723774199167888,0.624777777750651
5,1.1017127619213527,0.6678666665717231
6,0.948939454905192,0.714111111070421
7,0.8086130788273281,0.7515111111111111
8,0.6902818317625258,0.7847555554741754
9,0.5822085544904073,0.8149111110026042
10,0.4875280506981744,0.8435999999321833
11,0.3995164280626509,0.8704444443359375
12,0.3320828119913737,0.8925111111111111
13,0.2679290121290419,0.9122666666124133
14,0.2152752755933338,0.9291333332926432
15,0.17594017914666069,0.9424666666395399
16,0.1390747370229827,0.9551555555419922
17,0.11043348565366533,0.9628444443766276
