epoch,train_loss,train_acc
1,2.7442322264353436,0.3053111111111111
2,1.8385072319666544,0.4827111110907661
3,1.518402410697937,0.5629111110975478
4,1.2915530968136257,0.621155555569119
5,1.1248434337192112,0.6663111110839844
6,0.9653292177094354,0.7073999999050564
7,0.8320110131475661,0.7436222221544054
8,0.7068643794695536,0.778644444390191
9,0.5996307907210456,0.8079999999050563
10,0.49832304059664406,0.8392444444308811
11,0.41521327589882745,0.8641777777642144
12,0.336936070977317,0.890777777709961
13,0.27523961624569365,0.9099999999050563
14,0.21888024367756315,0.928711111070421
15,0.18138535176648035,0.941066666571723
