epoch,train_loss,train_acc
1,2.6341596231248645,0.33593333329264324
2,1.709274877187941,0.5248222221679687
3,1.3271581351810031,0.6151333332858615
4,1.036872613483005,0.6946666666463216
5,0.7913761084768507,0.7592888888210721
6,0.6179022661421034,0.8083777776828341
7,0.4575437156041463,0.854844444390191
8,0.3295595114601983,0.8950444443630643
9,0.25576249599456785,0.9189999999186199
10,0.2009457867410448,0.9355333332926433
11,0.1464580548180474,0.952911111070421
12,0.11674088476366468,0.9636222221544054
13,0.08286443341639307,0.9733999999864367
