epoch,train_loss,train_acc
1,2.7377171798706055,0.30433333333333334
2,1.983903695763482,0.4696444444444444
3,1.647546454026964,0.5497333333333333
4,1.4052499038272435,0.6094888888888889
5,1.2083928298102484,0.6581111111111111
6,1.0285549680921766,0.7070666666666666
7,0.8942967498567369,0.7428222222222223
8,0.8159141162872314,0.7661777777777777
9,0.7122820957395766,0.7952666666666667
10,0.6276843085394965,0.8184222222222223
11,0.5551719894402557,0.841
12,0.5099541909429762,0.853
13,0.4120779710478253,0.8800666666666667
14,0.3572911403656006,0.8963111111111111
15,0.31972634389665394,0.9078888888888889
