epoch,train_loss,train_acc
1,2.4086432434929743,0.37135555555555555
2,1.5749479592535232,0.5561777777777778
3,1.2094725277582805,0.6457111111111111
4,0.9311052403132121,0.7179111111111112
5,0.708717742951711,0.7815333333333333
6,0.5308646344555749,0.8336
7,0.3942380999883016,0.8733777777777778
8,0.3079145727733771,0.9005555555555556
9,0.23413733667267694,0.9245333333333333
10,0.18491140288048322,0.9396444444444444
11,0.14103254394448467,0.9545555555555556
12,0.1150159275394347,0.9631555555555555
13,0.0950004878907568,0.9706444444444444
14,0.06904924868825409,0.9787111111111111
15,0.051973148598025244,0.9834444444444445
16,0.041288118459563705,0.9868888888888889
