epoch,train_loss,train_acc
1,2.4930714422861735,0.3649777777777778
2,1.5769489261203342,0.5586666666259766
3,1.2197762874073452,0.6456666665581597
4,0.954329268137614,0.7123777777235243
5,0.7572907229741415,0.7676666665988499
6,0.6017310988108318,0.8094888888481988
7,0.46066204693052504,0.8542222221272786
8,0.3597624552938673,0.8844444444173177
9,0.2588970948484209,0.9160222221137152
10,0.19544413850307465,0.9362444444037544
11,0.12593970644474028,0.9618222221272785
12,0.0792588661564721,0.977311111029731
13,0.048472813198301525,0.9880888888753255
14,0.028387116650740306,0.9937333332519532
