epoch,train_loss,train_acc
1,3.478725586446126,0.2242888888414171
2,2.173609069739448,0.4407777777506511
3,1.6815975268046062,0.543644444410536
4,1.382464725833469,0.6163111110432943
5,1.152182040172153,0.6758666666531034
6,0.9413548787858751,0.7369555554877388
7,0.7683380533430312,0.7879555554606119
8,0.621607278866238,0.8314222221815322
9,0.4889513657040066,0.8737111110432944
10,0.3876261476834615,0.905399999891493
11,0.2928541725476583,0.9352222221679688
12,0.22570296971003215,0.955644444390191
13,0.18110471067958409,0.9666888888075088
14,0.13892692931360667,0.9783777777777778
15,0.11245927766958873,0.9840222222086589
16,0.09315489167372386,0.9871555554741754
