epoch,train_loss,train_acc
1,3.4815952846103246,0.22333333327907987
2,2.155248477575514,0.44757777773030594
3,1.6652583468967015,0.549155555501302
4,1.3650245699564616,0.6212444444037544
5,1.1233743689643012,0.6849111110432943
6,0.921794275633494,0.7425111110026041
7,0.7475011237568325,0.7945555555284288
8,0.5974137276543511,0.8396666666531033
9,0.4669940856191847,0.879999999891493
10,0.3632076206631131,0.9126666665852865
11,0.27923752422332765,0.9390888888481989
12,0.21499721508026123,0.9587777776692707
13,0.16375248398780823,0.9723555555284289
14,0.13274970670011307,0.9799111110839844
15,0.10659668033387926,0.9852888888888889
16,0.08847735106547673,0.9891111111111112
