epoch,train_loss,train_acc
1,3.4643886748419868,0.223577777730306
2,2.1375726518207125,0.4481333333129883
3,1.6563262115266588,0.5501111110704211
4,1.3578618750678169,0.6218444443766276
5,1.1237270164065891,0.6846222221747504
6,0.9192297841389974,0.7441777777642145
7,0.7451707046296862,0.7963111110026041
8,0.5981731980853611,0.8408222221137153
9,0.4745637658225165,0.878911111029731
10,0.3664972143597073,0.9112444443495008
11,0.2902751681168874,0.9360222222222222
12,0.22353199167781407,0.9554666666259766
13,0.17393403007984162,0.968577777750651
14,0.13754032260047064,0.9774888888210721
15,0.11408079369333056,0.9824222221544054
16,0.08954297680324978,0.9887999999186199
