epoch,train_loss,train_acc
1,3.487177301703559,0.22131111109754775
2,2.1649265725453697,0.4413333332926433
3,1.6790291124767727,0.5427111110975478
4,1.3777923698425294,0.6160444444240994
5,1.1392122159322102,0.6811333332722982
6,0.940499943139818,0.7368888888075088
7,0.7624087610244751,0.7901777776828341
8,0.6080718240949843,0.8370888888346355
9,0.48107264696756996,0.8762666665988499
10,0.3717113393359714,0.9097111110161674
11,0.28793499228159586,0.9370222222086588
12,0.22095078327390882,0.9567999999050564
13,0.17534990826182895,0.9695111110161675
14,0.1341305249068472,0.9797333333333333
15,0.11121464344660441,0.9845111110161675
16,0.09102346910238265,0.9880222221544055
17,0.07731726617548201,0.9911555554877388
