epoch,train_loss,train_acc
1,4.699029966566298,0.04562222221883138
2,3.765466590033637,0.11482222221544054
3,3.484906064605713,0.15506666663953994
4,3.1573725296020507,0.2137999999898275
5,2.951294273715549,0.2533333333129883
6,2.7856872203826906,0.287399999979655
7,2.6087411672380236,0.3235333332994249
8,2.43469457482232,0.3589777777574327
9,2.3041082392374674,0.3874444444240994
10,2.17890226749844,0.4113111110839844
11,2.08374008263482,0.4365999999525282
12,1.9731473550584582,0.4581111110704211
13,1.8666078330993652,0.48435555550808373
14,1.7820802904340955,0.5012222222086589
15,1.6949446002324422,0.5248222222086588
16,1.6203848398420546,0.5402222222154406
17,1.5096063893212213,0.5700222222222222
18,1.4093271659003364,0.5897333332790798
19,1.2990526946173775,0.6180222222222223
20,1.2069068620681762,0.6421555555284288
21,1.1116292923397488,0.6669555555148655
22,0.9854416763623556,0.7035777777913411
23,0.8741303966522217,0.7323777777913412
24,0.7777620775010851,0.7563333332926433
